id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,lyrical_depth,instrumentalness,vocal_energy
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,86,2020,euphoric,0.58,0.12,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,74,2019,nostalgic,0.72,0.81,0.46
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2018,aggressive,0.41,0.14,0.84
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2021,nostalgic,0.83,0.74,0.40
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2022,euphoric,0.39,0.07,0.89
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,68,2017,reflective,0.91,0.86,0.23
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,72,2016,nostalgic,0.73,0.55,0.37
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,78,2020,moody,0.42,0.21,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,75,2018,focused,0.66,0.76,0.44
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,82,2021,euphoric,0.49,0.18,0.79
11,Golden Hour Drive,Marina Vale,folk,nostalgic,0.61,96,0.73,0.68,0.44,77,2015,nostalgic,0.68,0.32,0.54
12,City Pulse,Atlas Ridge,hip hop,confident,0.88,128,0.76,0.84,0.12,84,2023,confident,0.33,0.09,0.91
13,Velvet Moonlight,Evelyn Crest,classical,serene,0.22,72,0.67,0.31,0.95,69,2014,serene,0.95,0.92,0.18
14,Backstreet Fire,Solara Lane,soul,romantic,0.69,108,0.79,0.74,0.27,80,2019,romantic,0.57,0.24,0.72
15,Island Breeze,Sunset Harbor,reggae,laidback,0.58,92,0.71,0.81,0.36,79,2020,laidback,0.48,0.38,0.63
16,Steel Skyline,The Iron Choir,metal,rebellious,0.94,160,0.41,0.57,0.03,83,2013,aggressive,0.29,0.11,0.88
17,Whispering Pines,Elm & Cedar,country,reflective,0.54,84,0.62,0.65,0.63,73,2016,reflective,0.67,0.43,0.50
18,Neon Skyline,Pixel Bloom,disco,euphoric,0.86,124,0.88,0.85,0.08,85,2022,euphoric,0.44,0.10,0.87
